"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SOX11",779.007962233468,5.49616897167484,1.12508060474001,3.99630831136213,6.43379321442578e-05,0.00397079930494614
"SYCP1",15.4991020434378,-6.90411699343295,1.57169973594598,-3.75651713772118,0.000172294477731887,0.00836354176877734
"TACC1",14514.2874686537,-2.82502834408979,0.470518147675364,-3.87876291936134,0.000104989013385262,0.00585695889911334
"TACR1",738.211094872578,-4.06399596125703,0.821203259920348,-3.73110545317881,0.0001906413972874,0.00890398374736097
"TDO2",82.9923174078766,4.96014553258354,0.975732772603352,4.05863740952093,4.93598857910772e-05,0.00318279174013285
"TFR2",115.28547188996,4.7678390172539,0.793205260255993,4.75014375981053,2.03272089673542e-06,0.000228100323483667
"TGFBR2",20446.1463939233,-2.85715956572688,0.437140201015028,-4.24843004924874,2.15273842809045e-05,0.0016166204369386
"TGFBR3",9738.91777337112,-4.00623073427666,0.634539923669682,-4.73765419974045,2.16206331671767e-06,0.000235674292384273
"THRSP",5949.74539819535,-5.44201531051255,0.961999163328803,-4.6174835486778,3.88421463568646e-06,0.000383560646395987
"TIMP4",6425.16880284053,-7.72607408825732,1.07469615034969,-6.25858209882742,3.88493364166816e-10,1.59846519670637e-07
"CLEC3B",4653.37686450063,-5.16683528495561,0.782996363097788,-5.32165343459611,1.02828328716025e-07,1.85101702973086e-05
"TNNI3",51.9516908440539,7.89221445030958,1.43795335155722,4.79307235025788,1.64246357602386e-06,0.000189222753715122
"TNNT1",705.759059135233,7.73090649295376,1.17301016330786,5.73814848626098,9.57171805762359e-09,2.50619484475444e-06
"TNS1",58547.3762257253,-3.74929467762204,0.681787431782328,-4.0324807256051,5.51911428822381e-05,0.00350646375054396
"TNXB",18001.1121141055,-5.373692963465,0.782273315917886,-5.59100364855613,2.25760836627376e-08,5.27212569967254e-06
"TOP2A",5313.52181381856,4.4036222345385,0.879389203404724,3.87043896077041,0.000108639556998701,0.00599808365653211
"TPO",119.590423260023,-4.38425991497788,0.878659427519835,-3.85161737185308,0.000117340265885801,0.00640519890655394
"TSHR",90.2317795434519,-5.05677135087317,1.0068471741549,-4.02918283430475,5.59710750568306e-05,0.00354298955332267
"TTK",1214.56366629849,5.41052335835607,1.01277763059144,4.35487833176216,1.3314084669484e-05,0.00107514344473529
"ZBTB16",797.466622797598,-5.79744194425941,1.06489332904959,-4.50509155554679,6.63443319657323e-06,0.000587946872153753
"SLC14A2",88.6739283430557,-4.91214031392851,0.785119601684297,-4.98285905171122,6.26515883127082e-07,8.26474883688482e-05
"FZD4",19675.164497731,-4.24922736000446,0.692327976212567,-4.69319090321845,2.68976270751152e-06,0.00027878378529449
"SRPX",4086.36802378026,-3.06365512363871,0.521998088172514,-3.95337678508259,7.70559522370958e-05,0.00458053538898866
"SDPR",4264.41453264075,-4.58746440317839,0.553648367962715,-6.47968026417083,9.19171910221389e-11,4.41228049459328e-08
"RAD54L",320.168622498638,4.36018180774592,0.857742635528142,3.91747089227638,8.94828466582766e-05,0.00520657600370935
"PDE8B",696.816155096766,-4.32349289798429,0.645924598928957,-5.14532641038157,2.67056050248706e-07,4.05505685310951e-05
